20211213,397.7800000,398.1100000,391.6600000,392.0400000
20211214,387.0800000,389.8700000,383.4100000,387.9800000
20211215,387.7200000,397.2000000,383.6600000,396.8300000
20211216,397.8200000,398.2600000,384.9900000,386.6200000
20211217,383.1100000,388.9700000,381.5500000,384.6900000
20211220,379.3500000,381.2800000,377.2500000,380.4700000
20211221,383.8300000,389.3100000,379.9900000,388.9900000
20211222,388.6900000,393.9400000,388.0100000,393.7300000
20211223,394.0900000,398.2100000,393.9200000,396.7000000
20211227,398.0300000,403.2600000,398.0000000,403.2600000
20211228,404.1800000,404.3600000,400.4900000,401.3900000
20211229,401.5300000,402.8300000,398.8900000,401.3300000
20211230,401.1100000,403.3500000,399.5300000,400.1300000
20211231,399.4400000,400.8400000,397.1200000,397.6300000
20220103,398.8300000,401.7200000,396.6600000,401.4600000
20220104,402.0200000,402.0600000,393.0700000,396.2500000
20220105,394.5200000,395.6700000,383.8100000,384.0700000
20220106,382.2000000,387.1300000,379.9100000,383.8000000
20220107,383.8100000,385.5400000,377.8200000,379.6400000
20220110,374.6400000,380.4200000,369.0900000,379.8900000
20220111,379.1400000,385.7700000,377.0000000,385.6000000
