"Date","Time","Open","High","Low","Close","Up","Down"
05/07/2025,16:00,56.83,58.26,55.81,57.43,10993415,10461031
05/08/2025,10:30,59.31,59.38,58.06,58.61,8910423,9792434
05/08/2025,12:00,58.61,60.52,57.66,60.15,16667115,15672064
05/08/2025,13:30,60.15,60.71,60.11,60.39,6086988,5775821
05/08/2025,15:00,60.40,60.54,59.84,60.25,4550533,4676801
05/08/2025,16:00,60.25,60.65,59.03,59.12,5440214,5906470
05/09/2025,10:30,59.84,60.27,58.81,58.98,8375696,9272173
05/09/2025,12:00,58.99,59.36,58.33,59.29,9534215,9912719
05/09/2025,13:30,59.27,59.33,58.34,58.73,4980965,5401028
05/09/2025,15:00,58.72,59.21,58.58,59.04,3676061,3658413
05/09/2025,16:00,59.04,59.42,58.91,59.00,4208693,4458014
05/12/2025,10:30,65.83,66.02,64.14,64.29,14842344,14673513
05/12/2025,12:00,64.30,64.95,63.85,64.53,8256046,7700366
05/12/2025,13:30,64.53,65.99,64.45,65.68,7231754,6053097
05/12/2025,15:00,65.68,66.06,65.62,65.65,4170702,3855344
05/12/2025,16:00,65.65,66.16,65.32,66.12,5831629,5289072
05/13/2025,10:30,66.71,68.90,66.36,68.60,11965318,11512260
05/13/2025,12:00,68.60,69.46,68.37,69.28,8679070,8203724
05/13/2025,13:30,69.28,69.79,68.98,69.59,5314947,5250444
05/13/2025,15:00,69.59,69.86,69.18,69.69,5498735,5422345
05/13/2025,16:00,69.69,69.82,69.02,69.16,4273127,4595138
05/14/2025,10:30,69.71,70.50,69.21,69.88,11098213,11918959
05/14/2025,12:00,69.88,70.33,69.35,70.20,7319488,7203056
05/14/2025,13:30,70.19,70.61,69.27,69.60,5439545,5899738
05/14/2025,15:00,69.60,70.42,69.55,70.11,4573562,4165705
05/14/2025,16:00,70.12,70.47,69.73,70.37,4463728,4742355
05/15/2025,10:30,69.35,69.89,68.93,69.33,7300492,7469027
05/15/2025,12:00,69.32,70.87,69.03,70.70,8611237,7979575
05/15/2025,13:30,70.70,71.69,70.62,71.59,6097530,5877302
05/15/2025,15:00,71.59,71.60,70.18,70.33,6228363,6340856
05/15/2025,16:00,70.33,70.64,69.46,70.59,6100328,6390760
05/16/2025,10:30,70.85,71.47,70.34,70.58,6791617,7559208
05/16/2025,12:00,70.58,70.85,69.65,70.55,6863480,7064141
05/16/2025,13:30,70.55,71.08,70.50,71.01,4174207,3590128
05/16/2025,15:00,71.02,71.35,70.78,71.19,4063344,3595232
05/16/2025,16:00,71.18,71.52,71.04,71.45,4656204,4309101
05/19/2025,10:30,68.56,71.05,67.99,70.47,11240155,11168980
05/19/2025,12:00,70.47,71.17,70.17,70.75,5785700,5788078
05/19/2025,13:30,70.76,71.86,70.70,71.63,5252463,4177448
05/19/2025,15:00,71.63,71.84,70.92,71.38,3803312,4059942
05/19/2025,16:00,71.38,71.74,70.86,71.62,4048326,3833580
05/20/2025,10:30,70.81,71.03,69.99,70.39,6464936,7237776
05/20/2025,12:00,70.38,70.95,70.28,70.79,5152112,4916422
05/20/2025,13:30,70.79,71.17,70.48,70.96,4224619,3432228
05/20/2025,15:00,70.97,70.99,69.85,69.92,5848518,6993795
05/20/2025,16:00,69.91,70.92,69.40,70.88,7031050,6790935
05/21/2025,10:30,69.59,70.80,69.10,70.28,7515181,7390488
05/21/2025,12:00,70.28,71.75,70.17,71.57,8349265,7482924
05/21/2025,13:30,71.56,71.99,68.42,68.49,8562040,10392809
05/21/2025,15:00,68.49,69.73,68.06,68.25,13656242,13672003
05/21/2025,16:00,68.25,68.63,67.18,67.92,9553205,9995099
05/22/2025,10:30,68.37,69.68,67.62,68.76,11349726,10899450
05/22/2025,12:00,68.76,69.22,68.11,69.13,8362633,8224448
05/22/2025,13:30,69.13,69.63,68.41,69.06,6393533,6891136
05/22/2025,15:00,69.07,69.57,68.88,69.45,5400926,4524647
05/22/2025,16:00,69.45,69.75,68.11,68.28,5429107,6025659
05/23/2025,10:30,64.64,66.47,64.23,65.99,15480389,15668251
05/23/2025,12:00,66.01,66.61,65.44,65.93,9079022,9522756
05/23/2025,13:30,65.92,67.25,65.76,67.22,6798741,5920090
05/23/2025,15:00,67.21,67.34,66.61,66.91,6295843,6548032
05/23/2025,16:00,66.91,67.20,66.13,66.31,5680355,5996115
05/27/2025,10:30,69.15,70.16,68.39,70.03,10432752,9474927
05/27/2025,12:00,70.04,70.37,69.84,70.32,4926778,4549956
05/27/2025,13:30,70.32,70.95,70.28,70.84,4524955,4133193
05/27/2025,15:00,70.83,71.15,70.70,70.72,4035736,3790288
05/27/2025,16:00,70.71,70.97,70.44,70.94,4344564,4302104
05/28/2025,10:30,71.39,71.94,70.69,70.85,7669144,7368530
05/28/2025,12:00,70.85,71.06,70.56,70.66,4931511,5071066
05/28/2025,13:30,70.67,71.19,70.66,71.07,3342402,3151946
05/28/2025,15:00,71.06,71.31,70.31,70.98,4362702,4641064
05/28/2025,16:00,70.97,71.42,69.78,70.02,5585568,5994580
05/29/2025,10:30,72.72,73.18,70.11,70.86,12740777,14039994
05/29/2025,12:00,70.85,71.50,69.57,69.80,8476365,9303978
05/29/2025,13:30,69.79,71.10,69.33,70.45,6824810,6683747
05/29/2025,15:00,70.45,70.65,69.50,69.93,6144692,6543127
05/29/2025,16:00,69.93,70.74,69.70,70.40,5952622,6018211
05/30/2025,10:30,69.70,70.22,68.67,70.15,7406942,7374594
05/30/2025,12:00,70.15,70.29,69.20,69.54,5881710,6109260
05/30/2025,13:30,69.56,69.67,67.04,68.08,10679703,11354491
05/30/2025,15:00,68.08,69.39,67.96,69.33,7457652,6641858
05/30/2025,16:00,69.32,70.60,69.29,70.00,8994717,7532091
06/02/2025,10:30,69.18,70.88,68.69,70.11,9629724,9506945
06/02/2025,12:00,70.10,70.74,69.81,70.64,6751731,6242455
06/02/2025,13:30,70.64,71.03,70.33,70.78,4648739,4025069
06/02/2025,15:00,70.78,71.54,70.56,71.47,4943555,4341233
06/02/2025,16:00,71.46,71.72,71.25,71.62,4512376,4354936
06/03/2025,10:30,71.66,72.68,71.40,72.52,8060271,7039973
06/03/2025,12:00,72.50,73.17,72.14,73.13,6526811,5578438
06/03/2025,13:30,73.13,73.88,73.05,73.73,4449135,4060008
